order_id,city_tier,order_hour,order_month,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,traffic_level_score,weather_severity_score,customer_rating,order_value,discount_amount,final_amount_paid,number_of_items,cancellation_flag,delayed_delivery_flag,promo_code_used,premium_customer_flag,festival_or_weekend_flag
5a87c6ab-e4a8-44ef-8852-f7a63e3b3943,2,20,6,14.12,23,76,5.4,2.6,2.9,100,22.97,111.56,4,FALSE,FALSE,FALSE,FALSE,TRUE
8eab78a5-a5c5-41d7-9a5f-5779ee5f2d3d,1,0,2,9.18,16,34,1,1.6,3.4,100,4.43,116.06,7,FALSE,FALSE,TRUE,FALSE,FALSE
1338cc5b-e5cf-419f-a7c9-4a2577608715,1,9,11,34.75,41,152,8.3,4.1,3.7,100,14.98,111.71,12,FALSE,FALSE,FALSE,FALSE,FALSE
5277f2fb-b1b3-4f58-9975-12f8f1b71421,2,6,5,26.6,9,93,3.2,8.8,4.1,145.11,14.81,153.3,7,FALSE,FALSE,FALSE,TRUE,TRUE
df159a97-3a78-4b08-a524-ec433c75b670,2,12,9,26.2,49,141,7.5,9.5,4.6,100,13.72,111.13,2,TRUE,FALSE,FALSE,FALSE,FALSE
5e180dec-043d-4300-aba6-271dab40edfc,3,19,12,5.38,57,62,1,4.5,4.4,100,19.39,87.13,5,FALSE,FALSE,FALSE,FALSE,FALSE
13643241-8c6c-48a4-8d03-863deafeb216,2,16,4,29.85,16,93,5.1,7.8,3.4,100,28.72,83.84,3,FALSE,FALSE,TRUE,TRUE,FALSE
7fc48f3b-b50b-44d8-ae6b-73085c131aa5,3,2,8,6.62,32,40,1,5.9,3.8,100,0.3,117.37,3,FALSE,FALSE,TRUE,FALSE,FALSE
70d9ed9f-fe98-4144-b00d-7ee169bf9d40,3,21,10,9.29,13,83,7.3,9.8,4,113.18,5.64,122.35,6,TRUE,TRUE,FALSE,FALSE,FALSE
2b538d8f-4edb-492d-aa1b-ebdd76392762,1,22,4,34.27,37,126,8,0.1,3.9,107,13.39,122.26,7,FALSE,FALSE,FALSE,TRUE,FALSE
9884ece6-b0ed-46fd-b09d-bc88f2fa6696,3,3,7,6.78,39,65,3.4,0.7,3.9,100,26.54,106.9,11,FALSE,FALSE,TRUE,FALSE,FALSE
6c18817e-43ba-4f03-8825-382fed10da1f,3,8,10,20.45,13,77,7.3,7.5,3.1,100,29.89,102.24,7,TRUE,FALSE,TRUE,FALSE,FALSE
1c855b63-19b7-49c4-808e-950e4d7b5af8,2,21,7,14.81,51,89,1,5.3,3.4,184.3,22.78,182.85,9,FALSE,FALSE,FALSE,TRUE,FALSE
50cfe790-d67a-4a0b-a76a-6fdd3f38f1d1,3,12,3,25.24,42,121,3.4,9.7,3.8,154.2,4.27,185.7,1,FALSE,FALSE,FALSE,TRUE,TRUE
bf5a7955-9a42-4311-babc-17f186a72e88,3,5,6,12.16,27,107,8.9,9.6,2.3,100,19.35,103.15,7,TRUE,TRUE,TRUE,FALSE,FALSE
1c1531d7-1444-4cfd-97d4-83431d6a5fdf,1,7,12,2.6,18,36,4,7,4.4,100,10.05,102.43,8,TRUE,FALSE,FALSE,FALSE,FALSE
c15a5b02-012c-46df-923a-e167418e77d0,1,18,11,1.05,47,41,2.3,1.5,3.2,123.5,8.99,135.79,4,FALSE,FALSE,FALSE,FALSE,FALSE
75301507-aa69-47d5-b1d2-b34e64f6454f,2,8,6,26.9,47,128,3.8,8.1,4.4,100,7.66,125.31,11,FALSE,FALSE,FALSE,FALSE,FALSE
3cfe44aa-522e-4761-a93f-1af2af908c76,3,2,9,38.2,30,137,9.1,4.3,4.3,100,7.77,123.37,8,FALSE,FALSE,FALSE,FALSE,FALSE
8df7712a-4ba1-4235-abf3-b9149fb8595f,1,9,5,14.8,26,93,9.8,8.7,3.7,100,29.89,93.35,12,FALSE,FALSE,TRUE,FALSE,FALSE
20d8669d-e220-4825-bba6-9360dc68c5bb,3,3,12,36.14,29,126,4.1,2.5,4.6,100,20.73,84.7,2,FALSE,FALSE,TRUE,FALSE,FALSE
d170394b-b81d-441c-b0a6-291be1406b64,3,8,7,24.03,56,105,1.9,1.4,4.4,182.96,11.6,186.49,3,FALSE,FALSE,TRUE,TRUE,FALSE
d6a2e6f8-210c-47db-812b-b9a007297da3,1,1,10,15.72,41,100,9.7,2.9,3.8,100,19.02,114.5,8,FALSE,FALSE,FALSE,FALSE,FALSE
61de2804-485e-4523-9420-95397df31a80,1,7,7,3.96,17,52,7.9,7.5,3.8,100,22.82,107.85,1,FALSE,FALSE,TRUE,FALSE,FALSE
e55b7e3f-567b-4cfa-8cdc-8c26078397e9,2,2,4,10.71,31,73,3.5,5.7,4.6,142.19,25.9,119.4,8,TRUE,FALSE,FALSE,FALSE,FALSE
